inv_nr,gebouw,adres,plaats,provincie,functie,materiaal,sectie,jaar_van,jaar_tot,aantal_bladen,lat,lon,precisie,na_link
1475.1,"Rijks Hogere Land-, Tuin- en Bosbouwschool, Laboratorium voor plantenphysiologie",Hesselink van Suchtelenweg 4,Wageningen,Gelderland,onderwijs & wetenschap,tekening,IB,1915,1927,8,51.965849,5.680587,straat,https://www.nationaalarchief.nl/onderzoeken/archief/4.RGD/invnr/1475.1/file/
1476.1,Rijks-h.b.s. c.a. / Landbouw Hogeschool,Wilhelminaweg 1-5 / Generaal Foulkesweg,Wageningen,Gelderland,onderwijs & wetenschap,tekening,IB,1909,1940,50,51.966167,5.672345,adres,https://www.nationaalarchief.nl/onderzoeken/archief/4.RGD/invnr/1476.1/file/
1477.1,Post- en telegraafgebouw,Dorpstraat,Warmond,Zuid-Holland,post & telegraaf,tekening,IB,1895,1932,2,52.189125,4.491236,straat,https://www.nationaalarchief.nl/onderzoeken/archief/4.RGD/invnr/1477.1/file/
1478.1,Post- en telegraafgebouw,Kerkstraat 24,Waspik,Noord-Brabant,post & telegraaf,tekening,IB,1920,1930,4,51.68679,4.943528,adres,https://www.nationaalarchief.nl/onderzoeken/archief/4.RGD/invnr/1478.1/file/
1479.1,Fruit- en groentenveilingvereniging,,Wateringen,Zuid-Holland,overig,tekening,IB,1931,1931,1,52.019062,4.279642,plaats,https://www.nationaalarchief.nl/onderzoeken/archief/4.RGD/invnr/1479.1/file/
1480.1,Post- en telegraafgebouw,Herenstraat 30,Wateringen,Zuid-Holland,post & telegraaf,tekening,IB,1938,1938,2,52.02419,4.276203,adres,https://www.nationaalarchief.nl/onderzoeken/archief/4.RGD/invnr/1480.1/file/
1481.1,Telefoongebouw,Looimolenstraat 18,Weert,Limburg,post & telegraaf,tekening,IB,1938,1941,3,51.25301,5.702042,straat,https://www.nationaalarchief.nl/onderzoeken/archief/4.RGD/invnr/1481.1/file/
1482.1,Post- en telegraafgebouw / Belastinggebouw,Wilhelminasingel 6-10,Weert,Limburg,post & telegraaf,tekening,IB,1938,1939,7,51.253989,5.703901,adres,https://www.nationaalarchief.nl/onderzoeken/archief/4.RGD/invnr/1482.1/file/
1483.1,Telefoongebouw,Achtergracht,Weesp,Noord-Holland,post & telegraaf,tekening,IB,1925,1935,1,52.306156,5.040616,straat,https://www.nationaalarchief.nl/onderzoeken/archief/4.RGD/invnr/1483.1/file/
1484.1,Post- en telegraafgebouw,Oude Gracht,Weesp,Noord-Holland,post & telegraaf,tekening,IB,1890,1928,1,52.305935,5.043646,straat,https://www.nationaalarchief.nl/onderzoeken/archief/4.RGD/invnr/1484.1/file/
1485.1,Post- en telegraafgebouw,Hoogstraat,Werkendam,Noord-Brabant,post & telegraaf,tekening,IB,1936,1936,1,51.813974,4.893844,straat,https://www.nationaalarchief.nl/onderzoeken/archief/4.RGD/invnr/1485.1/file/
1486.1,K.N.M.I. magnetisch station met woning,"Mej. A. Talmaweg 16-18, Witteveen",Westerbork,Drenthe,woningbouw,tekening,IB,1937,1938,54,52.854619,6.60221,adres,https://www.nationaalarchief.nl/onderzoeken/archief/4.RGD/invnr/1486.1/file/
1487.1,Marechausseekazerne / Rijkspolitie,Straatweg,Westkapelle,Zeeland,politie,tekening,IB,1920,1930,1,51.515405,3.452191,straat,https://www.nationaalarchief.nl/onderzoeken/archief/4.RGD/invnr/1487.1/file/
1488.1,Marechausseekazerne,"Straatweg naar Frederiksoord, Noordwolde",Weststellingwerf,Fryslân,politie,tekening,IB,1916,1920,7,52.892321,6.018918,straat,https://www.nationaalarchief.nl/onderzoeken/archief/4.RGD/invnr/1488.1/file/
1489.1,Post- en telegraafgebouw,"Dr. Mulderstraat 4, Noordwolde",Weststellingwerf,Fryslân,post & telegraaf,tekening,IB,1925,1935,2,52.889011,6.141445,straat,https://www.nationaalarchief.nl/onderzoeken/archief/4.RGD/invnr/1489.1/file/
1490,Rijksrietvlechtschool,"Hoofdstraat, Noordwolde",Weststellingwerf,Fryslân,onderwijs & wetenschap,tekening,IB,1910,1939,39,52.892549,6.144888,straat,https://www.nationaalarchief.nl/onderzoeken/archief/4.RGD/invnr/1490/file/
1491.1,Marechausseekazerne,Wolvega,Weststellingwerf,Fryslân,politie,tekening,IB,1910,1920,2,52.88066,6.024488,straat,https://www.nationaalarchief.nl/onderzoeken/archief/4.RGD/invnr/1491.1/file/
1492.1,Telefoongebouw,"Blomslaan 22, Wolvega",Weststellingwerf,Fryslân,post & telegraaf,tekening,IB,1939,1939,4,52.877667,6.003118,straat,https://www.nationaalarchief.nl/onderzoeken/archief/4.RGD/invnr/1492.1/file/
1493.1,Post- en telegraafgebouw,"Kerkstraat 14, Wolvega",Weststellingwerf,Fryslân,post & telegraaf,tekening,IB,1909,1938,7,52.877602,5.995852,straat,https://www.nationaalarchief.nl/onderzoeken/archief/4.RGD/invnr/1493.1/file/
1495.1,Boerenleenbank / Rijkspolitiepost,Goudhoekseweg 14,Oostvoorne,Zuid-Holland,politie,tekening,IB,1932,1932,2,51.922136,4.123801,adres,https://www.nationaalarchief.nl/onderzoeken/archief/4.RGD/invnr/1495.1/file/
1496.1,Post- en telegraafgebouw,Koningstraat 18,Hippolytushoef,Noord-Holland,post & telegraaf,tekening,IB,1915,1929,6,52.905865,4.962661,straat,https://www.nationaalarchief.nl/onderzoeken/archief/4.RGD/invnr/1496.1/file/
