kreis,zone,personen,arbeidsinzet,overlijden,medisch,huwelijk,geboorte,lat,lon,top_herkomst_nl
Kassel,Amerikaanse,41967,38404,3563,0,0,0,51.31578,9.49785,Rotterdam (5877); Amsterdam (3542); 's-Gravenhage (1702)
Berlijn,,37516,35939,1577,0,0,0,52.51739,13.39513,Amsterdam (5697); Rotterdam (2803); 's-Gravenhage (1690)
München,Amerikaanse,29240,29240,0,0,0,0,48.13711,11.57538,Rotterdam (6106); Amsterdam (2457); 's-Gravenhage (1697)
Hamburg,Engelse,20469,10968,5248,3784,0,469,53.55017,10.00132,Rotterdam (1889); Amsterdam (1259); 's-Gravenhage (1113)
Augsburg,Amerikaanse,15373,15373,0,0,0,0,48.36903,10.89795,Rotterdam (2800); Amsterdam (1429); 's-Gravenhage (888)
Offenbach,Amerikaanse,11460,11460,0,0,0,0,50.1055,8.76107,Amsterdam (2318); Rotterdam (564); 's-Gravenhage (279)
Rottweil,Franse,10576,9610,373,497,75,21,48.16782,8.62698,Rotterdam (1249); 's-Gravenhage (627); Amsterdam (294)
Grossgerau,Amerikaanse,10100,9821,279,0,0,0,49.89642,8.4554,Amsterdam (1015); Rotterdam (829); 's-Gravenhage (398)
Moers,Engelse,10061,9608,451,0,0,2,51.45128,6.62843,Nijmegen (666); Rotterdam (438); Amsterdam (282)
Osnabruck,Engelse,9992,8437,1555,0,0,0,52.27196,8.04763,Rotterdam (1066); Amsterdam (651); 's-Gravenhage (265)
Duisburg,Engelse,8864,5800,3064,0,0,0,51.435,6.75956,Rotterdam (734); Dordrecht (185); Amsterdam (159)
Tettnang,Franse,8287,8287,0,0,0,0,47.67166,9.58912,'s-Gravenhage (1165); Rotterdam (1074); Amsterdam (218)
Braunschweig,Engelse,8196,7191,1005,0,0,0,52.26466,10.52361,Amsterdam (743); Rotterdam (401); Utrecht (210)
Hannover,Engelse,7930,5539,2391,0,0,0,52.37448,9.73855,Amsterdam (665); Rotterdam (470); 's-Gravenhage (177)
Aachen,Engelse,7121,5405,873,0,424,419,50.77635,6.08386,Maastricht (124); Vaals (105); Heerlen (101)
Steinfurt,Engelse,7083,7083,0,0,0,0,52.13775,7.35814,Enschede (478); Rotterdam (118); Amsterdam (82)
Regensburg,Amerikaanse,6750,6750,0,0,0,0,49.01953,12.09749,Rotterdam (734); Amsterdam (600); Vlaardingen (384)
Lübeck,Engelse,6535,6535,0,0,0,0,53.86644,10.68474,Rotterdam (623); 's-Gravenhage (612); Amsterdam (479)
Schweinfurt,Amerikaanse,6452,6452,0,0,0,0,50.04515,10.23406,Rotterdam (1135); Dordrecht (572); Utrecht (447)
Darmstadt,Amerikaanse,6446,6446,0,0,0,0,49.87277,8.65118,'s-Gravenhage (513); Amsterdam (501); Rotterdam (324)
Kleve,Engelse,6423,6423,0,0,0,0,51.78956,6.1376,Asperen (145); Ottersum (81); Groesbeek (68)
Marburg,Amerikaanse,6354,6354,0,0,0,0,50.80901,8.77047,Rotterdam (343); Amsterdam (299); Eindhoven (184)
Kiel,Engelse,6340,5697,643,0,0,0,54.32271,10.13556,Rotterdam (161); 's-Gravenhage (108); Amsterdam (96)
Mülheim An Der Ruhr,Engelse,6057,6057,0,0,0,0,51.42729,6.88292,Rotterdam (545); Amsterdam (197); 's-Gravenhage (84)
Bremen,Amerikaanse,6050,6050,0,0,0,0,53.07582,8.80716,Rotterdam (689); Amsterdam (602); 's-Gravenhage (160)
Fallingbostel,Engelse,5717,5717,0,0,0,0,52.82174,9.66014,Groningen (282); Rotterdam (271); Amsterdam (219)
Ludwigshafen Am Rhein,Franse,5710,5710,0,0,0,0,49.47041,8.43816,Amsterdam (459); Rotterdam (155); 's-Gravenhage (79)
Düsseldorf,Engelse,5710,3741,1969,0,0,0,51.2254,6.77631,Rotterdam (155); Amsterdam (71); Maastricht (64)
Witzenhausen,Amerikaanse,5535,5535,0,0,0,0,51.33319,9.84342,Amsterdam (409); Rotterdam (391); 's-Hertogenbosch (235)
Essen,Engelse,5352,3787,1565,0,0,0,51.45822,7.01582,Amsterdam (315); Rotterdam (178); Bergen op Zoom (174)
Dortmund,Engelse,5351,2285,3066,0,0,0,51.51423,7.46528,Rotterdam (428); Amsterdam (199); Velsen (151)
Nürnberg,Amerikaanse,5147,5147,0,0,0,0,49.45387,11.0773,Rotterdam (820); Amsterdam (617); 's-Gravenhage (380)
Krefeld,Engelse,5028,5028,0,0,0,0,51.33312,6.56233,Rotterdam (113); Nijmegen (96); Amsterdam (70)
Wesermünde,Engelse,5000,5000,0,0,0,0,53.55054,8.58519,Rotterdam (620); Amsterdam (427); 's-Gravenhage (272)
Mannheim,Amerikaanse,4908,3761,1147,0,0,0,49.48929,8.46731,Rotterdam (447); 's-Gravenhage (351); Amsterdam (291)
Schönebeck,Russische,4794,4794,0,0,0,0,52.0206,11.73833,Amsterdam (518); Rotterdam (459); 's-Gravenhage (271)
Münster,Engelse,4200,4200,0,0,0,0,51.96251,7.62519,Amsterdam (173); Enschede (161); Rotterdam (135)
Baden-Baden,Franse,4173,4173,0,0,0,0,48.76107,8.23996,Amsterdam (421); 's-Gravenhage (313); Rotterdam (171)
Oldenburg En Oldenburg-Holstein,Engelse,3818,3818,0,0,0,0,53.13898,8.2146,Groningen (222); Rotterdam (213); Amsterdam (129)
Hagen I.W.,Engelse,3653,3653,0,0,0,0,53.3577,8.64564,Rotterdam (250); Amsterdam (171); Nijmegen (103)
Keulen,Engelse,3643,2746,897,0,0,0,50.93836,6.95997,Rotterdam (144); Amsterdam (121); 's-Gravenhage (53)
Bielefeld,Engelse,3586,3586,0,0,0,0,52.0191,8.53101,Rotterdam (385); Amsterdam (266); 's-Gravenhage (113)
Friedberg,Amerikaanse,3389,2907,482,0,0,0,50.32827,8.74764,Rotterdam (302); 's-Gravenhage (281); Amsterdam (185)
Hersfeld,Amerikaanse,3385,3385,0,0,0,0,50.86042,9.67677,'s-Gravenhage (255); Rotterdam (251); Amsterdam (210)
Hof An Der Saale,Amerikaanse,3296,3296,0,0,0,0,50.33068,10.23545,Rotterdam (354); 's-Gravenhage (295); Amsterdam (262)
Iserlohn,Engelse,3262,3262,0,0,0,0,51.37468,7.69997,Rotterdam (139); Amsterdam (139); Nijmegen (87)
Hamm,Engelse,3216,3216,0,0,0,0,51.68128,7.81912,Rotterdam (381); Deventer (205); Amsterdam (132)
Gelsenkirchen,Engelse,3210,3210,0,0,0,0,51.51103,7.09601,Rotterdam (126); Amsterdam (101); 's-Gravenhage (53)
Wetzlar,Amerikaanse,3129,3129,0,0,0,0,50.57056,8.53125,Rotterdam (461); 's-Gravenhage (394); Amsterdam (161)
Wiesbaden,Amerikaanse,3128,3128,0,0,0,0,50.08204,8.24166,Rotterdam (341); Amsterdam (269); 's-Gravenhage (157)
Kempen-Krefeld,Engelse,3124,752,2372,0,0,0,51.23776,6.38057,Venlo (136); Rotterdam (84); Tegelen (57)
Hassfurt,Amerikaanse,3102,3102,0,0,0,0,50.04278,10.50862,Dordrecht (410); Gorinchem (376); Rotterdam (279)
Nienburg,Engelse,3097,3097,0,0,0,0,52.64878,9.25781,Amsterdam (226); Rotterdam (209); 's-Gravenhage (109)
Herzogentum Lauenburg,Engelse,3060,3060,0,0,0,0,53.70111,10.77429,Rotterdam (197); Amsterdam (137); Apeldoorn (108)
Ennepe-Ruhr,Engelse,3000,3000,0,0,0,0,51.45169,7.33046,Rotterdam (98); Gendringen (85); Tilburg (78)
Düsseldorf-Mettmann,Engelse,2998,1622,1376,0,0,0,51.2192,6.80497,Rotterdam (151); Amsterdam (147); 's-Gravenhage (78)
Emmendingen,Franse,2995,2995,0,0,0,0,48.12066,7.85099,'s-Gravenhage (326); Rotterdam (272); Amsterdam (166)
Mainz,Franse,2966,1706,0,1260,0,0,49.99952,8.27363,Rotterdam (261); Amsterdam (144); 's-Gravenhage (72)
Celle,Engelse,2914,2914,0,0,0,0,52.62406,10.08105,Amsterdam (223); Rotterdam (219); Utrecht (75)
Neuss,Engelse,2904,2904,0,0,0,0,51.19818,6.69165,'s-Hertogenbosch (130); Amsterdam (114); Rotterdam (89)
Ravensburg,Franse,2864,2864,0,0,0,0,47.7811,9.61247,'s-Gravenhage (558); Rotterdam (453); Amsterdam (130)
Obertaunus,Amerikaanse,2837,2837,0,0,0,0,50.26687,8.56809,Amsterdam (296); Rotterdam (270); 's-Gravenhage (97)
Recklinghausen,Engelse,2824,2824,0,0,0,0,51.61438,7.19785,Rotterdam (75); Amsterdam (33); Arnhem (15)
Mönchengladbach,Engelse,2802,2802,0,0,0,0,51.19471,6.43538,Roermond (136); Venlo (130); Amsterdam (54)
Dessau-Köthen,Russische,2669,2669,0,0,0,0,51.7446,11.99366,Amsterdam (353); Rotterdam (82); Utrecht (67)
Magdeburg,Russische,2669,1700,969,0,0,0,52.13148,11.64008,Amsterdam (182); Rotterdam (119); Groningen (59)
Watenstedt-Salzgitter,Engelse,2643,2643,0,0,0,0,52.15037,10.35931,Amsterdam (133); Helden (102); Rotterdam (93)
Dinslaken,Engelse,2621,2621,0,0,0,0,51.56236,6.73451,Arnhem (212); Rotterdam (86); Renkum (80)
Saarbrücken,Franse,2615,2321,294,0,0,0,49.23436,6.99638,Amsterdam (156); Rotterdam (122); 's-Gravenhage (110)
Flensburg,Engelse,2571,2571,0,0,0,0,54.7833,9.43333,Rotterdam (535); 's-Gravenhage (134); Amsterdam (75)
Wilhelsmhaven,Engelse,2484,2484,0,0,0,0,53.53683,8.02616,Rotterdam (84); Groningen (71); Amsterdam (43)
Karlsruhe,Amerikaanse,2376,2376,0,0,0,0,49.00687,8.40342,'s-Gravenhage (250); Rotterdam (250); Amsterdam (204)
Erlangen,Amerikaanse,2369,2369,0,0,0,0,49.58916,10.98121,Rotterdam (215); 's-Hertogenbosch (214); Amsterdam (177)
Solingen,Engelse,2327,2327,0,0,0,0,51.17216,7.08459,Amsterdam (78); Utrecht (39); Maastricht (39)
Rendsburg,Engelse,2299,2299,0,0,0,0,54.30029,9.66501,Rotterdam (384); Amsterdam (70); Schiedam (50)
Plün,Engelse,2296,2296,0,0,0,0,54.15808,10.41771,Amsterdam (133); Rotterdam (109); 's-Gravenhage (87)
Main-Taunus,Amerikaanse,2284,2284,0,0,0,0,50.11333,8.42678,Amsterdam (337); Tilburg (111); Rotterdam (110)
Lörrach,Franse,2281,2281,0,0,0,0,47.61209,7.66072,'s-Gravenhage (98); Rotterdam (62); Tilburg (23)
Eutin,Engelse,2256,2256,0,0,0,0,54.13646,10.61591,Rotterdam (138); Amsterdam (106); Groningen (77)
Konstanz,Franse,2234,2234,0,0,0,0,47.65922,9.17507,'s-Gravenhage (84); Rotterdam (41); Amsterdam (40)
Hanau,Amerikaanse,2218,2218,0,0,0,0,50.13288,8.91698,Rotterdam (229); Amsterdam (125); Leiden (92)
Säckingen,Franse,2184,2184,0,0,0,0,47.55275,7.94106,'s-Gravenhage (165); Rotterdam (77); Amsterdam (56)
Dachau,Amerikaanse,2166,2166,0,0,0,0,48.25951,11.43467,Rotterdam (362); Amsterdam (213); 's-Gravenhage (168)
Wilhelmshaven,Engelse,2123,439,0,1684,0,0,53.52788,8.1063,Groningen (52); Amsterdam (47); Rotterdam (35)
Oberhausen,Engelse,2100,2100,0,0,0,0,51.46961,6.85144,Amsterdam (148); Rotterdam (142); Arnhem (65)
Garmisch-Partenkirchen,Amerikaanse,2068,2068,0,0,0,0,47.49237,11.09628,Amsterdam (244); Rotterdam (187); 's-Gravenhage (80)
Waldeck,Amerikaanse,2061,2061,0,0,0,0,50.91138,11.78201,Rotterdam (173); 's-Gravenhage (123); Amsterdam (99)
Fürstenfeldbrück,Amerikaanse,2036,2036,0,0,0,0,48.17947,11.25472,Rotterdam (486); Hardinxveld (129); Amsterdam (97)
Neumünster,Engelse,2024,2024,0,0,0,0,54.07033,9.98845,Rotterdam (75); Zwolle (52); Amsterdam (38)
Altötting,Amerikaanse,2020,2020,0,0,0,0,48.22681,12.67579,Rotterdam (443); 's-Gravenhage (353); Amsterdam (101)
Bamberg,Amerikaanse,2016,2016,0,0,0,0,49.8916,10.88685,Rotterdam (225); Amsterdam (138); 's-Gravenhage (68)
Bonn,Engelse,1987,1987,0,0,0,0,50.73526,7.10246,Rotterdam (166); Amsterdam (127); Maastricht (73)
Nürtingen,Amerikaanse,1983,1983,0,0,0,0,48.62659,9.33655,'s-Gravenhage (355); Rotterdam (236); Amsterdam (197)
Rosenheim,Amerikaanse,1979,1979,0,0,0,0,47.85579,12.1273,Rotterdam (360); Utrecht (124); Amsterdam (100)
Giessen,Amerikaanse,1967,1967,0,0,0,0,50.58621,8.67423,Rotterdam (221); Amsterdam (152); 's-Gravenhage (113)
Wiedenbrück,Engelse,1950,1950,0,0,0,0,51.83583,8.31302,Amsterdam (136); Rotterdam (114); Kampen (62)
Weilheim,Amerikaanse,1942,1942,0,0,0,0,47.83951,11.14164,Rotterdam (316); Amsterdam (92); Haarlem (45)
Dill,Amerikaanse,1906,1906,0,0,0,0,49.91666,7.34659,Rotterdam (189); 's-Gravenhage (121); Amsterdam (114)
Stuttgart,Amerikaanse,1885,1885,0,0,0,0,48.77845,9.18001,Rotterdam (258); Amsterdam (185); 's-Gravenhage (144)
Unna,Engelse,1873,1873,0,0,0,0,51.53488,7.68901,Amsterdam (96); Leerdam (74); Apeldoorn (66)
Siegen,Engelse,1868,1868,0,0,0,0,50.87512,8.02561,Amsterdam (110); Rotterdam (90); Nijmegen (69)
Ulm,Amerikaanse,1845,1845,0,0,0,0,48.3985,9.99125,Rotterdam (146); Amsterdam (50); 's-Gravenhage (43)
Fulda,Amerikaanse,1844,1844,0,0,0,0,50.55147,9.67622,Rotterdam (189); Amsterdam (143); Ouddorp (54)
Bottrop,Engelse,1843,1843,0,0,0,0,51.52158,6.9292,Amsterdam (196); Rotterdam (74); 's-Gravenhage (69)
Berchtesgaden,Amerikaanse,1819,1819,0,0,0,0,47.63302,13.00201,Rotterdam (264); 's-Gravenhage (179); Amsterdam (155)
Tuttlingen,Franse,1809,1809,0,0,0,0,47.98443,8.81866,Rotterdam (148); 's-Gravenhage (93); Amsterdam (66)
Herne,Engelse,1747,1747,0,0,0,0,51.53804,7.21999,Rotterdam (46); Deventer (39); Hoogeveen (32)
Bremervürde,Engelse,1738,1738,0,0,0,0,53.48502,9.13621,Amsterdam (282); 's-Gravenhage (181); Rotterdam (128)
Landsberg,Amerikaanse,1729,1729,0,0,0,0,48.04975,10.87687,Rotterdam (289); Amsterdam (95); 's-Gravenhage (33)
Leipzig,Russische,1720,1720,0,0,0,0,51.34063,12.37473,Amsterdam (140); Rotterdam (72); 's-Gravenhage (56)
Fürth,Amerikaanse,1714,1714,0,0,0,0,49.48857,10.95872,Amsterdam (153); Rotterdam (140); Utrecht (51)
Grafschaft Bentheim,Engelse,1707,1707,0,0,0,0,52.46475,7.01026,Oldenzaal (107); Rotterdam (75); Losser (72)
Gladbeck,Engelse,1703,1703,0,0,0,0,51.57187,6.98773,Amsterdam (29); Rotterdam (15); Zwollerkerspel (9)
Potsdam,Russische,1698,1698,0,0,0,0,52.40093,13.05914,Amsterdam (33); Rotterdam (20); 's-Gravenhage (11)
Friesland,Engelse,1673,1673,0,0,0,0,53.46799,8.02219,Rotterdam (88); Groningen (75); Amsterdam (70)
Segeberg,Engelse,1666,1666,0,0,0,0,53.92323,10.16123,Amsterdam (53); Rotterdam (51); 's-Gravenhage (26)
Fritzlar-Homberg,Amerikaanse,1653,1653,0,0,0,0,51.15371,9.26451,Utrecht (200); Amsterdam (117); Rotterdam (77)
Lüneburg,Engelse,1645,1645,0,0,0,0,53.24871,10.40785,Amsterdam (118); Rotterdam (54); Emmen (42)
Reutlingen,Franse,1634,1634,0,0,0,0,48.49195,9.21141,Rotterdam (192); 's-Gravenhage (119); Amsterdam (78)
Bad Kissingen,Amerikaanse,1632,1632,0,0,0,0,50.19749,10.05733,Amsterdam (280); Rotterdam (137); 's-Gravenhage (62)
Ahaus,Engelse,1623,1623,0,0,0,0,52.07615,7.00488,Enschede (71); Epe (65); Losser (51)
Stade,Engelse,1618,1618,0,0,0,0,53.59979,9.47544,Amsterdam (62); Groningen (55); Rotterdam (41)
Chemnitz,Russische,1613,1613,0,0,0,0,50.83235,12.91891,Amsterdam (40); Rotterdam (32); 's-Gravenhage (28)
Gandersheim,Engelse,1594,1594,0,0,0,0,51.87047,10.02978,Rotterdam (139); Vlaardingen (40); Amsterdam (33)
Wolfenbüttel,Engelse,1574,1574,0,0,0,0,52.16253,10.53482,Amsterdam (67); Rotterdam (32); Utrecht (20)
Steinburg,Engelse,1550,1550,0,0,0,0,53.94093,9.51579,Amsterdam (32); Rotterdam (29); Groningen (21)
Eckernfürde,Engelse,1544,1544,0,0,0,0,54.47165,9.83749,Amsterdam (45); Rotterdam (39); 's-Gravenhage (17)
Arnsberg,Engelse,1533,1533,0,0,0,0,51.40024,8.06059,Nijmegen (47); Amsterdam (13); Arnhem (11)
Bocholt,Engelse,1514,1514,0,0,0,0,51.83827,6.61487,Aalten (61); Dinxperlo (34); Doetinchem (31)
Bergstrasse,Amerikaanse,1511,1511,0,0,0,0,51.0318,13.73025,Rotterdam (144); Amsterdam (113); 's-Gravenhage (109)
Halle An Der Saale,Russische,1451,1451,0,0,0,0,51.47847,11.93661,Amsterdam (14); Rotterdam (9); 's-Gravenhage (5)
Ingolstadt,Amerikaanse,1440,1440,0,0,0,0,48.76302,11.42504,Rotterdam (489); Amsterdam (78); 's-Gravenhage (77)
Mindelheim,Amerikaanse,1400,1400,0,0,0,0,48.04642,10.48825,Amsterdam (69); 's-Gravenhage (39); Rotterdam (39)
Würzburg,Amerikaanse,1366,1366,0,0,0,0,49.77804,9.94348,Rotterdam (340); Amsterdam (46); Schiedam (25)
Hagenow,Russische,1321,1321,0,0,0,0,53.43058,11.19048,Amsterdam (20); Groningen (15); Rotterdam (14)
Pinneberg,Engelse,1312,1312,0,0,0,0,53.72789,9.69796,Rotterdam (110); Amsterdam (99); 's-Gravenhage (90)
Rees,Engelse,1287,1287,0,0,0,0,51.75812,6.39566,Haarlem (71); Rotterdam (55); 's-Gravenhage (48)
Tecklenburg,Engelse,1284,1284,0,0,0,0,52.22026,7.81341,Hilversum (123); 's-Gravenhage (67); Rotterdam (50)
Bochum,Engelse,1265,1265,0,0,0,0,51.48181,7.21966,Rotterdam (49); Amsterdam (30); Nijmegen (9)
Rheingau,Amerikaanse,1260,1260,0,0,0,0,50.13394,8.07016,Rotterdam (117); Amsterdam (95); 's-Gravenhage (50)
Geilenkirchen-Heinsberg,Engelse,1258,1258,0,0,0,0,51.01953,6.11612,Echt (18); Kampen (12); Roermond (6)
Neunburg Vorm Wald,Amerikaanse,1258,1258,0,0,0,0,49.34869,12.40945,Amsterdam (18); Rotterdam (8); Spijkenisse (1)
Wanne-Eickel,Engelse,1257,1257,0,0,0,0,51.53057,7.1343,Rotterdam (109); Arnhem (32); Amsterdam (25)
Kulmbach,Amerikaanse,1256,1256,0,0,0,0,50.10712,11.45818,Amsterdam (241); Rotterdam (120); Deventer (96)
Querfurt,Russische,1251,1251,0,0,0,0,51.37871,11.59741,Amsterdam (20); Rotterdam (18); Leiden (11)
Hildesheim-Marienburg,Engelse,1247,1247,0,0,0,0,52.11303,9.97905,Rotterdam (61); Amsterdam (58); 's-Gravenhage (33)
Minden,Engelse,1247,1247,0,0,0,0,52.2881,8.91689,Rotterdam (70); Amsterdam (58); Enschede (26)
Koblenz,Franse,1245,1245,0,0,0,0,50.35333,7.5944,Rotterdam (77); Dordrecht (72); Arnhem (69)
Sonthofen,Amerikaanse,1243,1243,0,0,0,0,47.50561,10.29941,Amsterdam (237); Rotterdam (159); 's-Gravenhage (91)
Viersen,Engelse,1231,1231,0,0,0,0,51.25621,6.39055,Beegden (7); Brunssum (6); Venlo (5)
Limburg,Amerikaanse,1217,1217,0,0,0,0,50.38804,8.06353,Rotterdam (179); Amsterdam (60); 's-Gravenhage (47)
Soest,Engelse,1214,1214,0,0,0,0,51.57255,8.10613,Rotterdam (173); Amsterdam (36); Soest (34)
Hechingen,Franse,1207,1207,0,0,0,0,48.35255,8.9642,Maastricht (62); Enschede (60); Rotterdam (49)
Remscheid,Engelse,1207,1207,0,0,0,0,51.17987,7.19435,Rotterdam (108); Roermond (90); Amsterdam (33)
Heidelberg,Amerikaanse,1206,874,332,0,0,0,49.40936,8.69472,Rotterdam (98); 's-Gravenhage (61); Amsterdam (44)
Bergheim,Engelse,1205,877,328,0,0,0,50.95405,6.641,Rotterdam (37); Amsterdam (12); Wervershoof (12)
Rudolstadt,Russische,1199,1199,0,0,0,0,50.72061,11.3402,Amsterdam (19); Leiden (11); Rotterdam (11)
Melsungen,Amerikaanse,1193,1193,0,0,0,0,51.14259,9.58332,Rotterdam (195); Amsterdam (108); Tilburg (44)
Lünen,Engelse,1176,1176,0,0,0,0,51.61425,7.52281,Amsterdam (120); Rotterdam (114); 's-Gravenhage (24)
Aschaffenburg,Amerikaanse,1175,1175,0,0,0,0,49.97067,9.13849,Rotterdam (257); Amsterdam (46); Maastricht (46)
Waren,Russische,1171,1171,0,0,0,0,53.51562,12.68506,Amsterdam (15); Leiden (12); Rotterdam (12)
Passau,Amerikaanse,1161,1161,0,0,0,0,48.57482,13.46097,Rotterdam (265); Amsterdam (117); Utrecht (83)
Freiburg Im Breisgau,Franse,1157,1157,0,0,0,0,47.99609,7.8494,'s-Gravenhage (38); Rotterdam (33); Amsterdam (32)
Aschendorf-Hummeling,Engelse,1156,1156,0,0,0,0,53.05234,7.33715,Groningen (16); Rotterdam (8); Amsterdam (7)
Neustrelitz,Russische,1154,1154,0,0,0,0,53.36172,13.063,Amsterdam (11); Groningen (8); Leiden (8)
Balingen,Franse,1153,1153,0,0,0,0,48.27375,8.85579,Enschede (100); Losser (66); Rijssen (63)
Wittlich,Franse,1152,1152,0,0,0,0,49.98504,6.88844,Dordrecht (90); Gorinchem (62); 's-Gravenhage (31)
Crimmitschau,Russische,1151,1151,0,0,0,0,50.81624,12.38672,Amsterdam (14); Leiden (11); Rotterdam (8)
Glauchau,Russische,1149,1149,0,0,0,0,50.8199,12.53979,Amsterdam (16); Leiden (10); Groningen (8)
Coburg,Amerikaanse,1141,1141,0,0,0,0,50.25822,10.96456,Amsterdam (176); Rotterdam (134); Delft (27)
Trier,Franse,1129,1129,0,0,0,0,49.75962,6.64419,Tilburg (83); Amsterdam (80); Haarlem (44)
Frankenthal,Franse,1106,1106,0,0,0,0,49.53535,8.35414,Rotterdam (135); Amsterdam (131); 's-Gravenhage (57)
Rastatt,Franse,1101,1101,0,0,0,0,48.85846,8.20405,'s-Gravenhage (158); Rotterdam (89); Amsterdam (63)
Miesbach,Amerikaanse,1097,1097,0,0,0,0,47.79002,11.83354,Rotterdam (103); Amsterdam (89); 's-Gravenhage (65)
Witten,Engelse,1095,1095,0,0,0,0,51.43702,7.33512,Rotterdam (129); Nijmegen (82); Deventer (55)
Neuwied,Franse,1092,1092,0,0,0,0,50.43024,7.4663,Maastricht (81); Amsterdam (61); Rotterdam (29)
Villingen,Franse,1083,1083,0,0,0,0,48.05966,8.4599,Amsterdam (110); 's-Gravenhage (105); Rotterdam (55)
Starnberg,Amerikaanse,1078,1078,0,0,0,0,47.99869,11.34108,Rotterdam (172); Amsterdam (86); 's-Gravenhage (60)
Landshut,Amerikaanse,1063,1063,0,0,0,0,48.53622,12.15166,Amsterdam (122); 's-Gravenhage (83); Rotterdam (49)
Soltau,Engelse,1047,1047,0,0,0,0,52.98443,9.8399,Amsterdam (49); Poortugaal (36); Rotterdam (33)
Ludwigsburg,Amerikaanse,1025,1025,0,0,0,0,48.89539,9.18951,Rotterdam (118); Amsterdam (60); 's-Gravenhage (47)
Bayreuth,Amerikaanse,1022,1022,0,0,0,0,49.94463,11.57435,Amsterdam (96); Rotterdam (78); 's-Gravenhage (35)
Lingen,Engelse,995,995,0,0,0,0,52.52247,7.31658,Linden (23); Rotterdam (21); Denekamp (12)
Traunstein,Amerikaanse,993,993,0,0,0,0,47.86953,12.64846,Rotterdam (114); 's-Gravenhage (64); Amsterdam (56)
Erkelenz,Engelse,986,562,424,0,0,0,51.08099,6.31607,Roermond (56); Posterholt (23); Vlodrop (20)
Meppen,Engelse,970,970,0,0,0,0,52.69475,7.29098,Emmen (33); Rotterdam (14); Vlagtwedde (8)
Wuppertal,Engelse,968,968,0,0,0,0,51.26402,7.17804,Amsterdam (46); Utrecht (37); Rotterdam (32)
Osterholz,Engelse,962,962,0,0,0,0,53.26045,8.74351,Groningen (97); Amsterdam (70); Rotterdam (68)
Helmstedt,Engelse,950,950,0,0,0,0,52.2277,11.01047,Amsterdam (113); Rotterdam (66); 's-Gravenhage (35)
Weiden,Amerikaanse,938,938,0,0,0,0,49.80683,7.3007,Vlaardingen (162); Rotterdam (86); 's-Gravenhage (60)
Göttingen,Engelse,937,937,0,0,0,0,51.53283,9.93518,Rotterdam (207); Amsterdam (51); 's-Gravenhage (34)
Dieburg,Amerikaanse,936,936,0,0,0,0,49.89818,8.83962,Haarlem (58); Amsterdam (55); Velsen (48)
Ansbach,Amerikaanse,926,926,0,0,0,0,49.28887,10.55977,Rotterdam (107); 's-Gravenhage (88); Amsterdam (59)
Leer,Engelse,923,923,0,0,0,0,53.20495,7.45953,Rotterdam (70); Bunde (27); Amsterdam (23)
Lichtenfels,Amerikaanse,921,921,0,0,0,0,50.13153,11.08393,Rotterdam (198); Amsterdam (82); Schiedam (12)
Straubing,Amerikaanse,920,920,0,0,0,0,48.88392,12.59558,Utrecht (24); Amsterdam (23); Rotterdam (22)
Geldern,Engelse,916,916,0,0,0,0,51.51697,6.32282,Venlo (27); Renkum (17); Wehl (12)
Burgdorf,Engelse,912,912,0,0,0,0,52.4438,10.00784,Rotterdam (114); Amsterdam (47); 's-Gravenhage (38)
Tübingen,Franse,909,909,0,0,0,0,48.52033,9.0536,Rotterdam (134); 's-Gravenhage (109); Amsterdam (51)
Eberswalde,Russische,907,907,0,0,0,0,52.83508,13.79965,Rotterdam (68); 's-Gravenhage (63); Gouda (51)
Esslingen,Amerikaanse,906,906,0,0,0,0,48.74276,9.30717,Rotterdam (198); Amsterdam (81); 's-Gravenhage (57)
Sigmaringen,Franse,904,904,0,0,0,0,48.08691,9.2165,Amsterdam (146); 's-Gravenhage (120); Rotterdam (43)
Waldshut,Franse,898,898,0,0,0,0,47.62462,8.21206,'s-Gravenhage (37); Amsterdam (23); Wateringen (9)
Lippstadt,Engelse,894,894,0,0,0,0,51.67471,8.34719,Rotterdam (67); Nieuwleusen (10); 's-Gravenhage (9)
Hameln,Engelse,883,883,0,0,0,0,52.10399,9.35616,Amsterdam (42); Rotterdam (26); Utrecht (12)
Rotenburg-Hannover,Engelse,881,881,0,0,0,0,53.0935,9.4175,Amsterdam (64); Rotterdam (58); 's-Gravenhage (42)
Laufen,Amerikaanse,877,877,0,0,0,0,47.93541,12.93031,Rotterdam (151); 's-Gravenhage (51); Dordrecht (26)
Emden,Engelse,868,868,0,0,0,0,53.36705,7.20583,Rotterdam (133); Groningen (63); Amsterdam (33)
Wangen,Franse,863,863,0,0,0,0,48.72598,9.60971,Rotterdam (11); 's-Gravenhage (11); Zundert (10)
Mosbach,Amerikaanse,857,857,0,0,0,0,49.35211,9.14602,Rotterdam (131); Amsterdam (47); 's-Gravenhage (29)
Hofgeismar,Amerikaanse,856,856,0,0,0,0,51.49722,9.42807,Rotterdam (26); Amsterdam (19); Utrecht (6)
Herford,Engelse,855,855,0,0,0,0,52.11522,8.67111,Rotterdam (89); Amsterdam (52); Hilversum (40)
Südtondern,Engelse,855,855,0,0,0,0,54.79665,8.88509,Putten (270); Yerseke (186); Nijkerk (29)
