kreis,zone,personen,arbeidsinzet,overlijden,medisch,huwelijk,geboorte,lat,lon,top_herkomst_nl
Meiningen,Russische,100,100,0,0,0,0,50.56761,10.4153,'s-Gravenhage (7); Vlaardingen (6); Lonneker (6)
Rätzlingen,Russische,99,99,0,0,0,0,52.97498,10.6738,Rotterdam (94); Vlaardingen (3)
Wertingen,Amerikaanse,99,99,0,0,0,0,48.56196,10.68264,Enschede (10); Utrecht (10); 's-Gravenhage (6)
Lebus,Russische,99,99,0,0,0,0,52.4271,14.53382,Amsterdam (13); Utrecht (5); Venray (5)
Pirna,Russische,98,98,0,0,0,0,50.96028,13.93792,Amsterdam (10); Rotterdam (10); Harlingen (3)
Wernigerode,Russische,98,98,0,0,0,0,51.83442,10.78625,Zwolle (5); Hilversum (4); Zuidhorn (4)
Osthavelland,Russische,97,97,0,0,0,0,52.68856,13.17422,Amsterdam (4); 's-Gravenhage (4); Leiden (3)
Feuchtwangen,Amerikaanse,96,96,0,0,0,0,49.16786,10.33133,Assen (7); Zutphen (5); Amsterdam (5)
Gemünden,Amerikaanse,95,95,0,0,0,0,50.55993,8.01769,Rotterdam (27); Breda (7); Dordrecht (4)
Bautzen,Russische,94,94,0,0,0,0,51.18091,14.4276,Amsterdam (12); 's-Gravenhage (7); Zwolle (5)
Künzelsau,Amerikaanse,93,93,0,0,0,0,49.28038,9.69015,Rotterdam (7); Nijmegen (7); Amsterdam (6)
Saalkreis,Russische,93,93,0,0,0,0,51.48857,12.07835,Amsterdam (8); Beverwijk (5); Leiden (3)
Mergentheim,Amerikaanse,93,93,0,0,0,0,49.49079,9.77317,Schaesberg (14); 's-Gravenhage (7); Nijmegen (5)
Saarburg,Franse,93,93,0,0,0,0,49.60825,6.54875,Vught (18); Rotterdam (13); 's-Hertogenbosch (7)
Backnang,Amerikaanse,93,93,0,0,0,0,48.94685,9.43036,Amsterdam (23); 's-Gravenhage (9); Arnhem (7)
Saarlouis,Franse,91,91,0,0,0,0,49.31647,6.74985,Amsterdam (12); Rotterdam (5); Haelen (3)
Landau,Amerikaanse,90,90,0,0,0,0,49.19828,8.11234,Amsterdam (21); Rotterdam (5); Arcen en Velden (5)
Marktheidenfeld,Amerikaanse,89,89,0,0,0,0,49.8582,9.5667,Rotterdam (9); Rosmalen (6); Leiden (4)
Hofheim In Mainfranken,Amerikaanse,89,89,0,0,0,0,50.09494,8.42285,Utrecht (1); Medemblik (1); De Werken en Sleeuwijk (1)
Ochsenfurt,Amerikaanse,89,89,0,0,0,0,49.66436,10.06476,Groningen (9); Heinkenszand (5); Tilburg (3)
Nordhausen,Russische,87,87,0,0,0,0,51.50516,10.79253,Rotterdam (10); Amsterdam (9); Utrecht (6)
Lübbecke,Engelse,87,87,0,0,0,0,52.30272,8.61831,Amsterdam (18); Hoogeveen (4); Enkhuizen (4)
Sulzbach-Rosenberg,Amerikaanse,86,86,0,0,0,0,49.49925,11.74703,'s-Gravenhage (12); Rotterdam (9); Delft (8)
Sondershausen,Russische,86,86,0,0,0,0,51.3666,10.86684,Rotterdam (3)
Warburg,Engelse,86,86,0,0,0,0,51.48865,9.14884,Wildervank (4); Rotterdam (2); Winsum (2)
Speyer,Franse,85,85,0,0,0,0,49.31656,8.43361,Rotterdam (5); Vreeswijk (4); Leiden (3)
